player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Adam Marusic,Lazio,1,0,1,2.0,2.0,0.0,37,2324
Alex Sandro,Juventus,1,0,1,1.9,1.9,0.0,16,2324
Nikola Moro,Bologna,1,0,1,1.9,1.9,0.0,23,2324
Timothy Weah,Juventus,0,1,1,1.9,0.0,1.9,30,2324
Hans Nicolussi Caviglia,Juventus,0,1,1,1.9,0.0,1.9,8,2324
Kacper Urbanski,Bologna,0,1,1,1.9,0.0,1.9,22,2324
Michel Aebischer,Bologna,0,1,1,1.9,0.0,1.9,36,2324
Carlos Alcaraz,Juventus,0,1,1,1.9,0.0,1.9,10,2324
Giovanni Simeone,Napoli,1,0,1,1.8,1.8,0.0,28,2324
Juan Jesus,Napoli,1,0,1,1.8,1.8,0.0,24,2324
Leo Østigard,Napoli,1,0,1,1.8,1.8,0.0,25,2324
Stanislav Lobotka,Napoli,0,1,1,1.8,0.0,1.8,38,2324
Jesper Lindstrom,Napoli,0,1,1,1.8,0.0,1.8,22,2324
Josip Brekalo,Fiorentina,1,0,1,1.6,1.6,0.0,11,2324
Fabiano Parisi,Fiorentina,0,1,1,1.6,0.0,1.6,21,2324
Tammy Abraham,Roma,1,0,1,1.5,1.5,0.0,8,2324
Renato Sanches,Roma,1,0,1,1.5,1.5,0.0,7,2324
Angelino,Roma,0,1,1,1.5,0.0,1.5,16,2324
Nicola Zalewski,Roma,0,1,1,1.5,0.0,1.5,22,2324
Sead Kolasinac,Atalanta,1,0,1,1.4,1.4,0.0,30,2324
Mitchel Bakker,Atalanta,1,0,1,1.4,1.4,0.0,14,2324
Berat Gjimshiti,Atalanta,0,1,1,1.4,0.0,1.4,37,2324
Hans Hateboer,Atalanta,0,1,1,1.4,0.0,1.4,23,2324
Ndary Adopo,Atalanta,0,1,1,1.4,0.0,1.4,10,2324
Chaka Traorè,AC Milan,1,0,1,1.3,1.3,0.0,2,2324
Jan-Carlo Simic,AC Milan,1,0,1,1.3,1.3,0.0,4,2324
Mike Maignan,AC Milan,0,1,1,1.3,0.0,1.3,29,2324
Simon Kjaer,AC Milan,0,1,1,1.3,0.0,1.3,20,2324
Malick Thiaw,AC Milan,0,1,1,1.3,0.0,1.3,21,2324
Stefan de Vrij,Inter,1,0,1,1.1,1.1,0.0,25,2324
Tajon Buchanan,Inter,1,0,1,1.1,1.1,0.0,10,2324
Stefano Sensi,Inter,0,1,1,1.1,0.0,1.1,4,2324
Giulio Donati,Monza,0,0,0,0.0,0.0,0.0,4,2324
Yann Sommer,Inter,0,0,0,0.0,0.0,0.0,34,2324
Jérôme Boateng,Salernitana,0,0,0,0.0,0.0,0.0,7,2324
Pedro Obiang,Sassuolo,0,0,0,0.0,0.0,0.0,8,2324
Chris Smalling,Roma,0,0,0,0.0,0.0,0.0,8,2324
Mattia Perin,Juventus,0,0,0,0.0,0.0,0.0,3,2324
Armando Izzo,Monza,0,0,0,0.0,0.0,0.0,23,2324
Alessio Romagnoli,Lazio,0,0,0,0.0,0.0,0.0,29,2324
Mattia De Sciglio,Juventus,0,0,0,0.0,0.0,0.0,1,2324
Samuele Perisan,Empoli,0,0,0,0.0,0.0,0.0,1,2324
Simone Scuffet,Cagliari,0,0,0,0.0,0.0,0.0,31,2324
Gianluca Caprari,Monza,0,0,0,0.0,0.0,0.0,6,2324
