player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games
Ousmane Touré,Lille,0,0,0,0.0,0.0,0.0,1
Formose Mendy,Lorient,0,0,0,0.0,0.0,0.0,2
Guillaume Restes,Toulouse,0,0,0,0.0,0.0,0.0,12
Cristian Cásseres Jr.,Toulouse,0,0,0,0.0,0.0,0.0,11
Philipp Köhn,Monaco,0,0,0,0.0,0.0,0.0,10
Loïc Négo,Le Havre,0,0,0,0.0,0.0,0.0,11
Josué Casimir,Auxerre,0,0,0,0.0,0.0,0.0,11
Étienne Youté,Le Havre,0,0,0,0.0,0.0,0.0,6
Maxime Colin,Metz,0,0,0,0.0,0.0,0.0,6
Koffi Kouao,Metz,0,0,0,0.0,0.0,0.0,12
Clinton Mata,Lyon,0,0,0,0.0,0.0,0.0,12
William Pacho,Paris Saint Germain,0,0,0,0.0,0.0,0.0,8
Fodé Sylla,Lens,0,0,0,0.0,0.0,0.0,2
Oussama El Azzouzi,Auxerre,0,0,0,0.0,0.0,0.0,4
Joseph N'Duquidi,Metz,0,0,0,0.0,0.0,0.0,1
Joel Mvuka,Lorient,0,0,0,0.0,0.0,0.0,10
Fabian Rieder,Rennes,0,0,0,0.0,0.0,0.0,3
Bertug Yildirim,Rennes,0,0,0,0.0,0.0,0.0,1
Gabriel Osho,Auxerre,0,0,0,0.0,0.0,0.0,2
Mahamadou Nagida,Rennes,0,0,0,0.0,0.0,0.0,5
Paris Brunner,Monaco,0,0,0,0.0,0.0,0.0,3
Luc Zogbe,Brest,0,0,0,0.0,0.0,0.0,3
Samir El Mourabet,Strasbourg,0,0,0,0.0,0.0,0.0,12
Nhoa Sangui,Paris FC,0,0,0,0.0,0.0,0.0,8
Noah Edjouma,Toulouse,0,0,0,0.0,0.0,0.0,7
Anthony Bermont,Lens,0,0,0,0.0,0.0,0.0,4
Lucas Michal,Monaco,0,0,0,0.0,0.0,0.0,1
Panos Katseris,Lorient,0,0,0,0.0,0.0,0.0,3
Dehmaine Assoumani,Nantes,0,0,0,0.0,0.0,0.0,12
Rabby Nzingoula,Strasbourg,0,0,0,0.0,0.0,0.0,3
Simon Ebonog,Le Havre,0,0,0,0.0,0.0,0.0,10
Djaoui Cissé,Rennes,0,0,0,0.0,0.0,0.0,10
Mikayil Faye,Rennes,0,0,0,0.0,0.0,0.0,1
Vincent Burlet,Lille,0,0,0,0.0,0.0,0.0,1
Rafik Messali,Toulouse,0,0,0,0.0,0.0,0.0,2
Darryl Bakola,Marseille,0,0,0,0.0,0.0,0.0,5
Daren Mosengo,Le Havre,0,0,0,0.0,0.0,0.0,1
Ibrahim Mbaye,Paris Saint Germain,0,0,0,0.0,0.0,0.0,10
Derek Cornelius,Marseille,0,0,0,0.0,0.0,0.0,2
Jeffrey de Lange,Marseille,0,0,0,0.0,0.0,0.0,2
Mathis Amougou,Strasbourg,0,0,0,0.0,0.0,0.0,6
Clément Akpa,Auxerre,0,0,0,0.0,0.0,0.0,11
Theo Bair,Auxerre,0,0,0,0.0,0.0,0.0,2
Lasso Coulibaly,Auxerre,0,0,0,0.0,0.0,0.0,9
Dayann Methalie,Toulouse,0,0,0,0.0,0.0,0.0,12
Mark McKenzie,Toulouse,0,0,0,0.0,0.0,0.0,11
Florent Hanin,Angers,0,0,0,0.0,0.0,0.0,8
Emmanuel Biumla,Angers,0,0,0,0.0,0.0,0.0,3
Glen Kamara,Rennes,0,0,0,0.0,0.0,0.0,1
Jordan Teze,Monaco,0,0,0,0.0,0.0,0.0,11
Moïse Bombito,Nice,0,0,0,0.0,0.0,0.0,2
Enzo Molébé,Lyon,0,0,0,0.0,0.0,0.0,1
Hong Hyun-Seok,Nantes,0,0,0,0.0,0.0,0.0,6
Serigne Diop,Brest,0,0,0,0.0,0.0,0.0,2
Damián Pizarro,Le Havre,0,0,0,0.0,0.0,0.0,2
Ali Abdi,Nice,0,0,0,0.0,0.0,0.0,5
Patrik Carlgren,Nantes,0,0,0,0.0,0.0,0.0,2
Jaydee Canvot,Toulouse,0,0,0,0.0,0.0,0.0,2
Juma Bah,Nice,0,0,0,0.0,0.0,0.0,10
Marius Courcoul,Angers,0,0,0,0.0,0.0,0.0,9
Marius Louãr,Angers,0,0,0,0.0,0.0,0.0,1
Mathis Saka,Toulouse,0,0,0,0.0,0.0,0.0,1
Aladji Bamba,Monaco,0,0,0,0.0,0.0,0.0,5
Bernard Nguene,Nice,0,0,0,0.0,0.0,0.0,3
Raphaël Le Guen,Brest,0,0,0,0.0,0.0,0.0,1
Justin Bourgault,Brest,0,0,0,0.0,0.0,0.0,1
Fredrik Oppegård,Auxerre,0,0,0,0.0,0.0,0.0,9
Stephan Zagadou,Le Havre,0,0,0,0.0,0.0,0.0,1
Hamidou Makalou,Brest,0,0,0,0.0,0.0,0.0,8
Rudy Matondo,Auxerre,0,0,0,0.0,0.0,0.0,9
Telli Siwe,Auxerre,0,0,0,0.0,0.0,0.0,3
Lanroy Machine,Angers,0,0,0,0.0,0.0,0.0,10
Quentin Ndjantou,Paris Saint Germain,0,0,0,0.0,0.0,0.0,6
Khalis Merah,Lyon,0,0,0,0.0,0.0,0.0,7
Mathys de Carvalho,Lyon,0,0,0,0.0,0.0,0.0,5
Ayumu Seko,Le Havre,0,0,0,0.0,0.0,0.0,12
Felix Mambimbi,Le Havre,0,0,0,0.0,0.0,0.0,9
Hamza Koutoune,Nice,0,0,0,0.0,0.0,0.0,1
Mário Sauer,Toulouse,0,0,0,0.0,0.0,0.0,12
Seny Koumbassa,Toulouse,0,0,0,0.0,0.0,0.0,1
Marius Broholm,Lille,0,0,0,0.0,0.0,0.0,5
Maxima Goffi,Lille,0,0,0,0.0,0.0,0.0,1
Arnaud Bodart,Lille,0,0,0,0.0,0.0,0.0,2
